"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-41163","	 quiero verter todas mis lágrimas encima alguien correcto ahora . Tan cansado de este #trastornado #triste	","sadness", 0.958
"2017-En-40761","	blues barra	","sadness", 0.188
"2017-En-40552","	 soy a ti, @Sargon_de_Akkad,  te sabes en secreto pino para un orden masculino, moralidad objetiva, y disciplinado transcendent búsquedas.	","sadness", 0.375
"2017-En-40239","	Theyve Sustituido el capote para una placa y pistola . ' La opinión pública es acusación de Charlotte policía . #Oscuro #sadtimes #america #carrera	","sadness", 0.604
"2017-En-41499","	 estoy preocupado que sienta segura . #Infeliz	","sadness", 0.854
"2017-En-40383","	num:num Mientras  sea en su atenuar y durmiendo hora,\nA tripulación de remiendos, groseros mechanicals,\n#AMNDBots	","sadness", 0.500
"2017-En-41210","	@username #deprimiendo  es tan freaking cercano !	","sadness", 0.679
"2017-En-40125","	 Conseguí diagnosticado con severo-la depresión extrema y yo no supieron había una diferencia entre aquellos dos lol	","sadness", 0.708
"2017-En-41505","	Este enteros #VanRE + la extradición podría convertir en la caja de una Pandora . JT Tiene ninguna idea sobre aquel murky corrupto guanxi en China ; Sapo vs Dada ;-)	","sadness", 0.396
"2017-En-40006","	tristeza Extrema	","sadness", 0.917
"2017-En-21534","	#PeopleLikeMeBecause de alguna razón desconocida pero yo intentan desalentarlo	","sadness", 0.278
"2017-En-20082","	r U asustado para presentar delante de la clase ? Ansiedad severa ... whats Que r u triste a veces ? ? Va consigue ur la depresión comprobó IMEDIATELY ! ! !	","sadness", 0.646
"2017-En-40131","	@username  Soy distraught ! 😭 Candice y su pout puede cabrear	","sadness", 0.688
"2017-En-40959","	@username @username A pesar de que no espero un trumpie para entender la diferencia entre cosas reales y pretender cosas .	","sadness", 0.375
"2017-En-40564","	@username Hakyeon Toma toda la atención afortunadamente, perching en Wonshik  hombro a sulk cuándo Jaehwan accidentalmente causó una explosión minúscula	","sadness", 0.354
"2017-En-40589","	@username @username fruto seco de pino ... Chestnut ... Cacahuete ... Espera ... Película incorrecta	","sadness", 0.351
"2017-En-40838","	@username fuera de Rory inicios . Qué  vuestro B el grupo parece w / o le ? Hideki Y Walker, y echar Reed o Knox en el pino?	","sadness", 0.343
"2017-En-40832","	@username @username Incluido para tristeza #máxima	","sadness", 0.625
"2017-En-41151","	 tememos no la verdad, incluso si lo ser gloomy, pero su counterfeit.- Berl Katznelson	","sadness", 0.500
"2017-En-40471","	El señor ME HAGO Un INSTRUMENTO DE VUESTRA PAZ — Donde hay odio, dejado me amor de cerda — Donde hay daño, perdón — Donde hay desesperación, esperanza	","sadness", 0.427
"2017-En-40652","	@username — Hermione en una clase de gracias antes de corredero su plato propio fuera de él antes de arrugar la frente en Ron cuando  continúe a —	","sadness", 0.306
"2017-En-40381","	@username depresión de serie del Correo puede ser bastante mala, pero  mejore,  aposté alguien elegirá el novel pronto en el del oeste.	","sadness", 0.500
"2017-En-40175","	Es manera demasiado duro no para conseguir desalentado .	","sadness", 0.667
"2017-En-40491","	Vuelo num chocado en La Isla Perdida num #perdió @username	","sadness", 0.417
"2017-En-40760","	soy tan orgulloso  entiende esto,  muestra amor, pensado y la compasión    y él no es hechos en un clouded manera..	","sadness", 0.188
"2017-En-21925","	@username @username Como histórico evangelical, I maravilla si el Donatists tuvo un punto? Qué clero terrible en mi fmr. Círculos.	","sadness", 0.542
"2017-En-20000","	 Siento gusta  estoy inundando . #Ansiedad #de depresión #falure #worthless	","sadness", 1.000
"2017-En-41086","	Meghan está enseñando el blues en teclado fundamentals II y todo estos clásico majors es como WTF ? !	","sadness", 0.250
"2017-En-40335","	@username xDD Es una canción que no puede ser cansado ( ? )	","sadness", 0.542
"2017-En-40811","	SOBRIETY ® Intentando hacer siendo sereno de moda … . Puede lo ser hecho ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #Sereno	","sadness", 0.333
"2017-En-40711","	BLUES con BOB HADDRELL & Huéspedes \ nFri numrd Sep num: numpm - num:num pm #blues #libre #TunbridgeWells	","sadness", 0.250
"2017-En-41221","	@username  conseguía un super speeder y perdió mi licencia para num meses ! 😩 🔫	","sadness", 0.583
"2017-En-40780","	#FF @username Soporte & de amor, siempre!! Eliza Neals ROCAS!! #blues #Amigos #de música 😎🎸	","sadness", 0.125
"2017-En-40616","	Snores en TL . El aburrimiento hundido en .	","sadness", 0.333
"2017-En-21180","	El numnd paso a batir #la ansiedad o #la depresión está realizando que no es aproximadamente esperando a ..., te Pasa a la acción ahora.	","sadness", 0.495
"2017-En-41107","	Sido sereno para días lmao	","sadness", 0.292
"2017-En-40513","	@username : Y quién te preguntaste a accidente de puerta con vuestras idiosincrasias mudas cuándo las personas serenas están analizando una situación ! \ n @username @username	","sadness", 0.396
"2017-En-41051","	@username i Correo de odio con blues ! Pero i evitado la peste demasiado yay ! ! Yay Mano constante sanitizer ! ! !	","sadness", 0.438
"2017-En-41041","	Suspiro .  Conseguía un B - .. #Deprimiendo	","sadness", 0.854
"2017-En-40036","	triste Principal twitter im en deprimir	","sadness", 0.833
"2017-En-40669","	@username @username @username  era habiendo almuerzo cuándo I visto esto ? !  Soplé mi cereal en el #hundirse ! !	","sadness", 0.292
"2017-En-40510","	Un Leopardo nunca cambia sus sitios ! #Perdido	","sadness", 0.396
"2017-En-40965","	@username Gabriel finalmente empezaría arrugando la frente, obteniendo conciousness. Cuál era aparentemente realmente doloroso por cómo las lágrimas formaron en el--	","sadness", 0.542
"2017-En-40867","	#Facebook está #deprimiendo sin incluso siendo allí . Dos aplicaciones quieren él para logging en,  he perdido al menos dos acontecimientos #interesantes y ellos	","sadness", 0.708
"2017-En-40828","	no deprimen tú por te comparar . Ninguna comparación .	","sadness", 0.438
"2017-En-40321","	@username @username  Es vale num ser repugnado o dishearten con carrera presidencial pero no deja aquella parón u de votar  IMPORTA	","sadness", 0.542
"2017-En-40813","	Esto caga hacer daño mi corazón 😪 aquello es qué serio  es .	","sadness", 0.875
"2017-En-40556","	#ThankYouCGI - No crece cansado en hacer bueno . #CGInum	","sadness", 0.375
"2017-En-40798","	@username @username Es que realmente todo  puedes ofrecer para quienes sacrifican diariamente para mantenerte seguro ... ? @username #Triste	","sadness", 0.625
"2017-En-41440","	nooo . Campana Azul pobre ! No otra vez .	","sadness", 0.604
"2017-En-40098","	Me digo cómo  estoy supuesto para sentir . #Roto #hateful #tristeza #de amor #culpable	","sadness", 0.729
"2017-En-40349","	Da las gracias a Dios  me advertí antes de que  anduve a aquello se hunde señor de causa sabe habría sido enfermo a mi estómago y habría querido demandar lbvfs	","sadness", 0.521
"2017-En-40841","	no puedo ESPERAR para ir para trabajar mañana con un alto cuando jode fiebre . [ Sarcasmo ] \ nHopefully sentiré mejor mañana . \ nBut  Lo dudo . #Pesimismo	","sadness", 0.646
"2017-En-41432","	@username tristemente no pienso  te veré encima visita, pero tener divertido,  vas a sacudir! 🎉👌🏻💙 #HotForMeTour	","sadness", 0.292
"2017-En-40746","	@username ohh Lago de plata vino arriba mucho encima allí ! Es que dónde tú los tipos se quedaron ?	","sadness", 0.208
"2017-En-40707","	Nadie quiere ganar la tarjeta salvaje porque  tienes que jugar el Cubs en la carretera .	","sadness", 0.250
"2017-En-41031","	Una vez  has aceptado vuestros defectos, nadie les puede utilizar en contra tú - @GRRMspeaking #cita #mentalhealth #ansiedad #de depresión #de la psicología	","sadness", 0.688
"2017-En-41025","	@username yo  no fret . Hay demasiadas oportunidades en vida para preocuparse aproximadamente uno no saliendo .	","sadness", 0.342
"2017-En-40047","	Oh,  tengo que justo 'conseguir encima' mi #depresión y 'ser feliz?'  No piensas que he probado que miles de tiempo ya? No estás ayudando.	","sadness", 0.812
"2017-En-41270","	Manera de conseguir un control de su 😊 #Cielo de deprimir	","sadness", 0.540
"2017-En-40512","	noticioso quieto empujando el Brexit gloom línea, dirigiendo ignorar el hecho  es sencillamente no pasando. 'Pero en el futuro.....'	","sadness", 0.396
"2017-En-40935","	Definiendo tú en plazos de oposición, i.e. el clouded fenómenos de espejo, es casi siempre una equivocación.	","sadness", 0.438
"2017-En-40674","	@username Un stumbling bloque al pessimist es una piedra de dar un paso al optimista .	","sadness", 0.271
"2017-En-40514","	Un pessimist es alguien quién, cuándo golpes de oportunidad, reniega sobre el ruido.	","sadness", 0.396
"2017-En-40174","	@username Algunos no ven la diferencia entre courting y apelando a unas mujeres vs presión & de engaño  está deprimiendo	","sadness", 0.667
"2017-En-41256","	@username I hashtag las cosas y los niños siempre me dicen para parar 😭 😭 😭 #la tristeza	","sadness", 0.625
"2017-En-40041","	Pensó que tuve un bastante sólido GPA como kin importante y ahora que  miro en la media para dpt programas siento incluso más desanimado 😪	","sadness", 0.812
"2017-En-40413","	i paró mirar gotham causa  cayeron de tabitha y barb  relación e hizo su pino después del principal	","sadness", 0.461
"2017-En-40606","	Refuge Boston de Recuperación - Weds num:num- num pm . #Curándose #recuperación #de adicción #del soporte #buddhism #la meditación #serena #cambma #conociendo #harvardsq	","sadness", 0.333
"2017-En-40427","	@username es todo hado y gloom ? Sólo quiero oír cosas preciosas sobre airbnb !	","sadness", 0.458
"2017-En-30718","	 Vi aquellos sueña dashed & & divididos gusta un millón de estrellas en el cielo de noche que  deseé encima encima & & encima otra vez ~ sparkling & & roto .	","sadness", 0.583
"2017-En-41268","	@username hola Poco tardío a chica perdida pero pensarte awesome de Del sur Afrikaans :-)	","sadness", 0.229
"2017-En-40690","	@username Sus ojos se quedaron glued al monitor, no dando la espalda para cualquier cosa	","sadness", 0.271
"2017-En-41128","	Muriendo es un muy atenuar, dreary asunto. Y mi consejo a ti es para tener nada cualquier cosa para hacer con él. ― W. Somerset Maughm	","sadness", 0.531
"2017-En-41213","	El dios único sabe por qué las cosas pasan, a veces es justo duro de entender. #Triste #prayingforyou	","sadness", 0.875
"2017-En-40086","	deseo Justo  estuve apreciado para todo  hago ! Cuando es mi vuelta para ser cuidada de ! !  Quiero una rotura ! ! #Cansado #perdió	","sadness", 0.750
"2017-En-40414","	@username : me gustó que no sea moping alrededor en todo del episodio .  Haya un momento de debilidad emocional, sentía triste aproximadamente -	","sadness", 0.460
"2017-En-40464","	y naoto asiente con la cabeza ella también como tha bandas . Pero también arrugue la frente . ' Will las bandas ' Papa Roach ' ser en concierto ... ? '	","sadness", 0.438
"2017-En-40115","	Pésames al JC y el Georges familia ..	","sadness", 0.708
"2017-En-20580","	El penique terrible num temporada	","sadness", 0.438
"2017-En-40850","	aaahhh ! Un poco @username para amansar el alma . #Música #blues	","sadness", 0.197
"2017-En-41010","	todo en el sueño se quedó allí	","sadness", 0.271
"2017-En-40873","	Pro-lifers está condenando #MenForChoice - pero no he visto cualesquiera de tú critican el dismal adopción de cuidado adoptiva / americana sistema .	","sadness", 0.458
"2017-En-40967","	Para un lgbt persona para decir alguien más que cómo  identifican no es válido es tan triste y en contra todo  tendríamos que estar para	","sadness", 0.562
"2017-En-40592","	Y con ricos Fumes su sullen sences aclama'd .	","sadness", 0.342
"2017-En-40222","	Es triste cuándo vuestras hojas de hombre trabajan un poco tarde y vuestro miedo peor es ' Oh ningún ! !   Consiga parado por la policía ? ! ? ! ' #ourworld	","sadness", 0.618
"2017-En-41110","	ffs Como si tate viento pensado en el willows era un juego serio, no puede esperar para verle juego un tejón de canto 😩😂	","sadness", 0.333
"2017-En-40994","	Tan deprimiendo para mirar noticioso, hoy fuera de 100 bala noticiosa 10 era de violación! Qué es mal con personas #india #desvergonzados #deprimiendo	","sadness", 0.917
"2017-En-40720","	Alt-J - Hunger del pino .	","sadness", 0.235
"2017-En-40937","	Finalmente miró #hungergamesmockingjaynum esta mañana, tristemente  siento un poco decepcionó #toomuchhype	","sadness", 0.509
"2017-En-40095","	tan perdido i soy se apagó	","sadness", 0.729
"2017-En-40123","	@username cuándo te clic encima y encima otra vez para un cupcake pero no hay ningún vehículo disponible ... #La tristeza	","sadness", 0.708
"2017-En-41453","	puede  se quede gloomy pero conseguir frío pls	","sadness", 0.600
"2017-En-41468","	@username @username @username @username dont juego con este maestro noob u quiere ganar .. #La depresión	","sadness", 0.417
"2017-En-40021","	seria chupa !	","sadness", 0.875
"2017-En-41267","	@username Y  es kinda deprimiendo hey ! ! ! 😑	","sadness", 0.667
"2017-En-40637","	Conseguía fusible a escaso cuándo im sereno .	","sadness", 0.312
"2017-En-41309","	Bien estómago cramps no hizo aquella clase de espín cualquier más fácil . Por qué hace mi odio de cuerpo que digiere porridge tanta 😩 #hiladura #sulk	","sadness", 0.646
"2017-En-40177","	 he regresado del muerto con un deseo de limpiar el apartamento y comer algo aquello no es basura . #Depresión #gestora	","sadness", 0.667
"2017-En-40369","	@username esta verdad triste !	","sadness", 0.500
"2017-En-41095","	@username  Pueda dar el dinero pero él no pararán mierda, pessimist	","sadness", 0.542
"2017-En-40051","	@username @username  soy despondent	","sadness", 0.806
"2017-En-40507","	@username Justo compró un paquete de dos medallion bistecs de ternera . Casa conseguida . Cocinado les . Un bistec es num % cerdo .  Tuve uno madre infeliz . 🐮 🐷	","sadness", 0.396
"2017-En-40863","	@username I casi cayó mi teléfono al hundirse HAHAHAHA	","sadness", 0.271
"2017-En-40030","	las personas que roban cosas de mi salir bastante el más húmedo en mi día tan ahora  voy a llevar el pijama todo el día	","sadness", 0.833
